N	x	y	u	u*	|u - u*|
40	2	0	9.092974e-01	9.092974e-01	0.000000e+00
41	2.050000e+00	0.000000e+00	8.873624e-01	8.873624e-01	0.000000e+00
42	2.100000e+00	0.000000e+00	8.632094e-01	8.632094e-01	0.000000e+00
43	2.150000e+00	0.000000e+00	8.368988e-01	8.368988e-01	0.000000e+00
44	2.200000e+00	0.000000e+00	8.084964e-01	8.084964e-01	0.000000e+00
45	2.250000e+00	0.000000e+00	7.780732e-01	7.780732e-01	0.000000e+00
46	2.300000e+00	0.000000e+00	7.457052e-01	7.457052e-01	0.000000e+00
47	2.350000e+00	0.000000e+00	7.114734e-01	7.114734e-01	0.000000e+00
48	2.400000e+00	0.000000e+00	6.754632e-01	6.754632e-01	0.000000e+00
49	2.450000e+00	0.000000e+00	6.377647e-01	6.377647e-01	0.000000e+00
50	2.500000e+00	0.000000e+00	5.984721e-01	5.984721e-01	0.000000e+00
51	2.550000e+00	0.000000e+00	5.576837e-01	5.576837e-01	0.000000e+00
52	2.600000e+00	0.000000e+00	5.155014e-01	5.155014e-01	0.000000e+00
53	2.650000e+00	0.000000e+00	4.720305e-01	4.720305e-01	0.000000e+00
54	2.700000e+00	0.000000e+00	4.273799e-01	4.273799e-01	0.000000e+00
55	2.750000e+00	0.000000e+00	3.816610e-01	3.816610e-01	0.000000e+00
56	2.800000e+00	0.000000e+00	3.349882e-01	3.349882e-01	0.000000e+00
57	2.850000e+00	0.000000e+00	2.874780e-01	2.874780e-01	0.000000e+00
58	2.900000e+00	0.000000e+00	2.392493e-01	2.392493e-01	0.000000e+00
59	2.950000e+00	0.000000e+00	1.904226e-01	1.904226e-01	0.000000e+00
60	3.000000e+00	0.000000e+00	1.411388e-01	1.411200e-01	1.883264e-05
61	3.050000e+00	0.000000e+00	9.146464e-02	9.146464e-02	0.000000e+00
62	3.100000e+00	0.000000e+00	4.158066e-02	4.158066e-02	0.000000e+00
63	3.150000e+00	0.000000e+00	-8.407247e-03	-8.407247e-03	0.000000e+00
64	3.200000e+00	0.000000e+00	-5.837414e-02	-5.837414e-02	0.000000e+00
65	3.250000e+00	0.000000e+00	-1.081951e-01	-1.081951e-01	0.000000e+00
66	3.300000e+00	0.000000e+00	-1.577457e-01	-1.577457e-01	0.000000e+00
67	3.350000e+00	0.000000e+00	-2.069020e-01	-2.069020e-01	0.000000e+00
68	3.400000e+00	0.000000e+00	-2.555411e-01	-2.555411e-01	0.000000e+00
69	3.450000e+00	0.000000e+00	-3.035415e-01	-3.035415e-01	0.000000e+00
70	3.500000e+00	0.000000e+00	-3.507832e-01	-3.507832e-01	0.000000e+00
71	3.550000e+00	0.000000e+00	-3.971482e-01	-3.971482e-01	0.000000e+00
72	3.600000e+00	0.000000e+00	-4.425204e-01	-4.425204e-01	0.000000e+00
73	3.650000e+00	0.000000e+00	-4.867866e-01	-4.867866e-01	0.000000e+00
74	3.700000e+00	0.000000e+00	-5.298361e-01	-5.298361e-01	0.000000e+00
75	3.750000e+00	0.000000e+00	-5.715613e-01	-5.715613e-01	0.000000e+00
76	3.800000e+00	0.000000e+00	-6.118579e-01	-6.118579e-01	0.000000e+00
77	3.850000e+00	0.000000e+00	-6.506251e-01	-6.506251e-01	0.000000e+00
78	3.900000e+00	0.000000e+00	-6.877662e-01	-6.877662e-01	0.000000e+00
79	3.950000e+00	0.000000e+00	-7.231881e-01	-7.231881e-01	0.000000e+00
80	4.000000e+00	0.000000e+00	-7.568025e-01	-7.568025e-01	0.000000e+00
161	2.000000e+00	5.000000e-02	8.873624e-01	8.873624e-01	0.000000e+00
162	2.050000e+00	5.000000e-02	8.632094e-01	8.632094e-01	0.000000e+00
163	2.100000e+00	5.000000e-02	8.368988e-01	8.368988e-01	0.000000e+00
164	2.150000e+00	5.000000e-02	8.084964e-01	8.084964e-01	0.000000e+00
165	2.200000e+00	5.000000e-02	7.780732e-01	7.780732e-01	0.000000e+00
166	2.250000e+00	5.000000e-02	7.457052e-01	7.457052e-01	0.000000e+00
167	2.300000e+00	5.000000e-02	7.114734e-01	7.114734e-01	0.000000e+00
168	2.350000e+00	5.000000e-02	6.754632e-01	6.754632e-01	0.000000e+00
169	2.400000e+00	5.000000e-02	6.377647e-01	6.377647e-01	0.000000e+00
170	2.450000e+00	5.000000e-02	5.984721e-01	5.984721e-01	0.000000e+00
171	2.500000e+00	5.000000e-02	5.576837e-01	5.576837e-01	0.000000e+00
172	2.550000e+00	5.000000e-02	5.155014e-01	5.155014e-01	0.000000e+00
173	2.600000e+00	5.000000e-02	4.720305e-01	4.720305e-01	0.000000e+00
174	2.650000e+00	5.000000e-02	4.273799e-01	4.273799e-01	0.000000e+00
175	2.700000e+00	5.000000e-02	3.816610e-01	3.816610e-01	0.000000e+00
176	2.750000e+00	5.000000e-02	3.349882e-01	3.349882e-01	0.000000e+00
177	2.800000e+00	5.000000e-02	2.874780e-01	2.874780e-01	0.000000e+00
178	2.850000e+00	5.000000e-02	2.392493e-01	2.392493e-01	0.000000e+00
179	2.900000e+00	5.000000e-02	1.904226e-01	1.904226e-01	0.000000e+00
180	2.950000e+00	5.000000e-02	1.411200e-01	1.411200e-01	0.000000e+00
181	3.000000e+00	5.000000e-02	9.148352e-02	9.146464e-02	1.887632e-05
182	3.050000e+00	5.000000e-02	4.158066e-02	4.158066e-02	0.000000e+00
183	3.100000e+00	5.000000e-02	-8.407247e-03	-8.407247e-03	0.000000e+00
184	3.150000e+00	5.000000e-02	-5.837414e-02	-5.837414e-02	0.000000e+00
185	3.200000e+00	5.000000e-02	-1.081951e-01	-1.081951e-01	0.000000e+00
186	3.250000e+00	5.000000e-02	-1.577457e-01	-1.577457e-01	0.000000e+00
187	3.300000e+00	5.000000e-02	-2.069020e-01	-2.069020e-01	0.000000e+00
188	3.350000e+00	5.000000e-02	-2.555411e-01	-2.555411e-01	0.000000e+00
189	3.400000e+00	5.000000e-02	-3.035415e-01	-3.035415e-01	0.000000e+00
190	3.450000e+00	5.000000e-02	-3.507832e-01	-3.507832e-01	0.000000e+00
191	3.500000e+00	5.000000e-02	-3.971482e-01	-3.971482e-01	0.000000e+00
